"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.112552372934437,0.0220589514710416,0.0216496970176322,0.0220568969159626,0.0216484283100849,0.0228434693918325,0.0216486554483802,0.0220563251150199,0.0216481807516173,0.0220557080188604,0.0241653912979311,0,0.000464824958102251,0.00010050269364373,0.0000790118510213884,0.0000994811372039733
"2",0.0220589514710416,0.00432309172191847,0.00426452921249519,0.00434552842627576,0.00426654243759512,0.00450183276025271,0.00426239839481547,0.00434552842627576,0.00426357666443813,0.00437807198410198,0.00475395945068873,0,0.0000900789181387654,0.0000194760763773344,0.0000153665949799605,0.0000174300056230325
"3",0.0216496970176322,0.00426452921249519,0.00415832292555273,0.00426654243759512,0.0041807707791314,0.00441873644535429,0.0041807707791314,0.00426239839481547,0.00421655927409635,0.00426357666443813,0.00466562759306632,0,0.00008869256182406,0.0000191763236606413,0.0000151468252845155,0.0000183972667994567
"4",0.0220568969159626,0.00434552842627576,0.00426654243759512,0.00432309172191847,0.00426357666443813,0.00450183276025271,0.00426452921249519,0.00437807198410198,0.00426239839481547,0.00434552842627576,0.00475395945068873,0,0.0000900789181387654,0.0000194760763773344,0.0000152921384086225,0.000019559017273371
"5",0.0216484283100849,0.00426654243759512,0.0041807707791314,0.00426357666443813,0.00415832292555273,0.00441873644535429,0.00421655927409635,0.00426452921249519,0.0041807707791314,0.00426239839481547,0.00466562759306632,0,0.00008869256182406,0.0000191763236606413,0.0000151383329330196,0.0000196744666982905
"6",0.0228434693918325,0.00450183276025271,0.00441873644535429,0.00450183276025271,0.00441873644535429,0.00465995460193212,0.00441873644535429,0.00450183276025271,0.00441873644535429,0.00450183276025271,0.00492565514833527,0,0.0000929478560136701,0.0000200963872692057,0.0000157618605638908,0.0000209885457171128
"7",0.0216486554483802,0.00426239839481547,0.0041807707791314,0.00426452921249519,0.00421655927409635,0.00441873644535429,0.00415832292555273,0.00426357666443813,0.0041807707791314,0.00426654243759512,0.00466562759306632,0,0.00008869256182406,0.0000191763236606413,0.0000151516714633582,0.0000194339898726268
"8",0.0220563251150199,0.00434552842627576,0.00426239839481547,0.00437807198410198,0.00426452921249519,0.00450183276025271,0.00426357666443813,0.00432309172191847,0.00426654243759512,0.00434552842627576,0.00475395945068873,0,0.0000900789181387654,0.0000194760763773344,0.0000152946247090722,0.0000201283319155815
"9",0.0216481807516173,0.00426357666443813,0.00421655927409635,0.00426239839481547,0.0041807707791314,0.00441873644535429,0.0041807707791314,0.00426654243759512,0.00415832292555273,0.00426452921249519,0.00466562759306632,0,0.00008869256182406,0.0000191763236606413,0.0000151406105367407,0.0000199197475621114
"10",0.0220557080188604,0.00437807198410198,0.00426357666443813,0.00434552842627576,0.00426239839481547,0.00450183276025271,0.00426654243759512,0.00434552842627576,0.00426452921249519,0.00432309172191847,0.00475395945068873,0,0.0000900789181387654,0.0000194760763773344,0.0000152634486285336,0.0000207766041556908
"11",0.0241653912979311,0.00475395945068873,0.00466562759306632,0.00475395945068873,0.00466562759306632,0.00492565514833527,0.00466562759306632,0.00475395945068873,0.00466562759306632,0.00475395945068873,0.0051945955107805,0,0.0000923887093168824,0.0000199759371495962,0.0000167817494365178,0.0000218633181221654
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0.000464824958102251,0.0000900789181387654,0.00008869256182406,0.0000900789181387654,0.00008869256182406,0.0000929478560136701,0.00008869256182406,0.0000900789181387654,0.00008869256182406,0.0000900789181387654,0.0000923887093168824,0,0.00000032437491727298,0.0000000834626378581456,0.000000353849316793572,0.000000691396208362111
"14",0.00010050269364373,0.0000194760763773344,0.0000191763236606413,0.0000194760763773344,0.0000191763236606413,0.0000200963872692057,0.0000191763236606413,0.0000194760763773344,0.0000191763236606413,0.0000194760763773344,0.0000199759371495962,0,0.0000000834626378581456,0.00000000393714405360843,0.0000000813074427951612,0.000000149491072078294
"15",0.0000790118510213884,0.0000153665949799605,0.0000151468252845155,0.0000152921384086225,0.0000151383329330196,0.0000157618605638908,0.0000151516714633582,0.0000152946247090722,0.0000151406105367407,0.0000152634486285336,0.0000167817494365178,0,0.000000353849316793572,0.0000000813074427951612,0.0000000702384893804292,0.0000000846265234601297
"16",0.0000994811372039733,0.0000174300056230325,0.0000183972667994567,0.000019559017273371,0.0000196744666982905,0.0000209885457171128,0.0000194339898726268,0.0000201283319155815,0.0000199197475621114,0.0000207766041556908,0.0000218633181221654,0,0.000000691396208362111,0.000000149491072078294,0.0000000846265234601297,0.00000000302610256515877
