Number,Brand,Product,Vendor API Game Name,Vendor Game Name,Game Type,Sub Game Type,Min Limit,Max Limit,Vendor API Product Name,Vendor Bet Type,BetType,Sub Bet Type,Payout (Decimal Odd),Min Bet,Max Bet,Decks of Card,Margin,Time (Sec),Note for Mark
1,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker,Banker/Player,Banker,1.95,100,10000,8,,40,
2,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Super6 Banker,Banker (No Comm),Banker (No Comm),2.00,100,10000,8,,40,
3,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Player,Banker/Player,Player,2.00,100,10000,8,,40,
4,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Super 6,Super 6,Super 6,13.00,100,833,8,,40,
5,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Tie,Tie,Tie,9.00,100,1250,8,,40,
6,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Bank Pairs,Pair,Banker Pair,12.00,100,909,8,,40,
7,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Play Pair,Pair,Player Pair,12.00,100,909,8,,40,
8,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Big,Big/Small,Big,1.54,100,10000,8,,40,
9,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Small,Big/Small,Small,2.50,100,6666,8,,40,
10,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker Odds,Odd/Even,Banker Odd,1.94,100,10000,8,,40,
11,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker Even,Odd/Even,Banker Even,1.94,100,10000,8,,40,
12,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Player Odds,Odd/Even,Player Odd,1.96,100,10000,8,,40,
13,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Player Even,Odd/Even,Player Even,1.90,100,10000,8,,40,
14,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Banker,Banker/Player,Banker,1.95,2000,50000,8,,40,
15,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Banker,Banker (No Comm),Banker (No Comm),2.00,2000,50000,8,,40,
16,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Player,Banker/Player,Player,2.00,2000,50000,8,,40,
17,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Super 6,Super 6,Super 6,13.00,2000,4166,8,,40,
18,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Tie,Tie,Tie,9.00,2000,6250,8,,40,
19,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Bank Pairs,Pair,Banker Pair,12.00,2000,4545,8,,40,
20,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Play Pair,Pair,Player Pair,12.00,2000,4545,8,,40,
21,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Big,Big/Small,Big,1.54,2000,50000,8,,40,
22,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Small,Big/Small,Small,2.50,2000,33333,8,,40,
23,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Banker Odds,Odd/Even,Banker Odd,1.94,2000,50000,8,,40,
24,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Banker Even,Odd/Even,Banker Even,1.94,2000,50000,8,,40,
25,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Player Odds,Odd/Even,Player Odd,1.96,2000,50000,8,,40,
26,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Player Even,Odd/Even,Player Even,1.90,2000,50000,8,,40,
27,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Banker,Banker/Player,Banker,1.95,10000,200000,8,,40,
28,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Banker,Banker (No Comm),Banker (No Comm),2.00,10000,200000,8,,40,
29,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Player,Banker/Player,Player,2.00,10000,200000,8,,40,
30,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Super 6,Super 6,Super 6,13.00,10000,16666,8,,40,
31,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Tie,Tie,Tie,9.00,10000,25000,8,,40,
32,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Bank Pairs,Pair,Banker Pair,12.00,10000,18181,8,,40,
33,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Play Pair,Pair,Player Pair,12.00,10000,18181,8,,40,
34,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Big,Big/Small,Big,1.54,10000,200000,8,,40,
35,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Small,Big/Small,Small,2.50,10000,133333,8,,40,
36,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Banker Odds,Odd/Even,Banker Odd,1.94,10000,200000,8,,40,
37,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Banker Even,Odd/Even,Banker Even,1.94,10000,200000,8,,40,
38,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Player Odds,Odd/Even,Player Odd,1.96,10000,200000,8,,40,
39,FUN88,SUN,Baccarat 1 / Baccarat 2 / Baccarat 3 / Baccarat 4,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Player Even,Odd/Even,Player Even,1.90,10000,200000,8,,40,
40,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker,Banker/Player,Banker,1.95,100,10000,8,,25,
41,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Super6 Banker,Banker (No Comm),Banker (No Comm),2.00,100,10000,8,,25,
42,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Player,Banker/Player,Player,2.00,100,10000,8,,25,
43,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Super 6,Super 6,Super 6,13.00,100,833,8,,25,
44,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Tie,Tie,Tie,9.00,100,1250,8,,25,
45,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Bank Pairs,Pair,Banker Pair,12.00,100,909,8,,25,
46,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Play Pair,Pair,Player Pair,12.00,100,909,8,,25,
47,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Big,Big/Small,Big,1.54,100,10000,8,,25,
48,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Small,Big/Small,Small,2.50,100,6666,8,,25,
49,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker Odds,Odd/Even,Banker Odd,1.94,100,10000,8,,25,
50,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Banker Even,Odd/Even,Banker Even,1.94,100,10000,8,,25,
51,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Player Odds,Odd/Even,Player Odd,1.96,100,10000,8,,25,
52,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,100,10000,,Player Even,Odd/Even,Player Even,1.90,100,10000,8,,25,
53,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Banker,Banker/Player,Banker,1.95,2000,50000,8,,25,
54,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Banker,Banker (No Comm),Banker (No Comm),2.00,2000,50000,8,,25,
55,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Player,Banker/Player,Player,2.00,2000,50000,8,,25,
56,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Super 6,Super 6,Super 6,13.00,2000,4166,8,,25,
57,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Tie,Tie,Tie,9.00,2000,6250,8,,25,
58,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Bank Pairs,Pair,Banker Pair,12.00,2000,4545,8,,25,
59,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Play Pair,Pair,Player Pair,12.00,2000,4545,8,,25,
60,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Big,Big/Small,Big,1.54,2000,50000,8,,25,
61,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Small,Big/Small,Small,2.50,2000,33333,8,,25,
62,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Banker Odds,Odd/Even,Banker Odd,1.94,2000,50000,8,,25,
63,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Banker Even,Odd/Even,Banker Even,1.94,2000,50000,8,,25,
64,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Player Odds,Odd/Even,Player Odd,1.96,2000,50000,8,,25,
65,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,2000,50000,,Player Even,Odd/Even,Player Even,1.90,2000,50000,8,,25,
66,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Banker,Banker/Player,Banker,1.95,10000,200000,8,,25,
67,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Banker,Banker (No Comm),Banker (No Comm),2.00,10000,200000,8,,25,
68,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Player,Banker/Player,Player,2.00,10000,200000,8,,25,
69,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Super 6,Super 6,Super 6,13.00,10000,16666,8,,25,
70,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Tie,Tie,Tie,9.00,10000,25000,8,,25,
71,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Bank Pairs,Pair,Banker Pair,12.00,10000,18181,8,,25,
72,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Play Pair,Pair,Player Pair,12.00,10000,18181,8,,25,
73,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Big,Big/Small,Big,1.54,10000,200000,8,,25,
74,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Small,Big/Small,Small,2.50,10000,133333,8,,25,
75,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Banker Odds,Odd/Even,Banker Odd,1.94,10000,200000,8,,25,
76,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Banker Even,Odd/Even,Banker Even,1.94,10000,200000,8,,25,
77,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Player Odds,Odd/Even,Player Odd,1.96,10000,200000,8,,25,
78,FUN88,SUN,Baccarat 5 / Baccarat 6,Baccarat,Baccarat,No Commission/Super 6 Baccarat,10000,200000,,Player Even,Odd/Even,Player Even,1.90,10000,200000,8,,25,
79,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Banker,Banker/Player,Banker,1.95,100,10000,8,,40,
80,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Player,Banker/Player,Player,2.00,100,10000,8,,40,
81,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Tie,Tie,Tie,9.00,100,1250,8,,40,
82,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Bank Pairs,Pair,Banker Pair,12.00,100,909,8,,40,
83,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Play Pair,Pair,Player Pair,12.00,100,909,8,,40,
84,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Big,Big/Small,Big,1.54,100,10000,8,,40,
85,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Small,Big/Small,Small,2.50,100,6666,8,,40,
86,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Banker Odds,Odd/Even,Banker Odd,1.94,100,10000,8,,40,
87,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Banker Even,Odd/Even,Banker Even,1.94,100,10000,8,,40,
88,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Player Odds,Odd/Even,Player Odd,1.96,100,10000,8,,40,
89,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,100,10000,,Player Even,Odd/Even,Player Even,1.90,100,10000,8,,40,
90,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Banker,Banker/Player,Banker,1.95,2000,50000,8,,40,
91,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Player,Banker/Player,Player,2.00,2000,50000,8,,40,
92,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Tie,Tie,Tie,9.00,2000,6250,8,,40,
93,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Bank Pairs,Pair,Banker Pair,12.00,2000,4545,8,,40,
94,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Play Pair,Pair,Player Pair,12.00,2000,4545,8,,40,
95,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Big,Big/Small,Big,1.54,2000,50000,8,,40,
96,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Small,Big/Small,Small,2.50,2000,33333,8,,40,
97,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Banker Odds,Odd/Even,Banker Odd,1.94,2000,50000,8,,40,
98,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Banker Even,Odd/Even,Banker Even,1.94,2000,50000,8,,40,
99,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Player Odds,Odd/Even,Player Odd,1.96,2000,50000,8,,40,
100,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,2000,50000,,Player Even,Odd/Even,Player Even,1.90,2000,50000,8,,40,
101,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Banker,Banker/Player,Banker,1.95,10000,200000,8,,40,
102,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Player,Banker/Player,Player,2.00,10000,200000,8,,40,
103,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Tie,Tie,Tie,9.00,10000,25000,8,,40,
104,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Bank Pairs,Pair,Banker Pair,12.00,10000,18181,8,,40,
105,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Play Pair,Pair,Player Pair,12.00,10000,18181,8,,40,
106,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Big,Big/Small,Big,1.54,10000,200000,8,,40,
107,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Small,Big/Small,Small,2.50,10000,133333,8,,40,
108,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Banker Odds,Odd/Even,Banker Odd,1.94,10000,200000,8,,40,
109,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Banker Even,Odd/Even,Banker Even,1.94,10000,200000,8,,40,
110,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Player Odds,Odd/Even,Player Odd,1.96,10000,200000,8,,40,
111,FUN88,SUN,Super Baccarat 1 / Super Baccarat 2 / Super Baccarat 3 / Super Baccarat 4,Baccarat,Baccarat,Baccarat,10000,200000,,Player Even,Odd/Even,Player Even,1.90,10000,200000,8,,40,
112,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Banker,Banker/Player,Banker,1.95,100,10000,8,,25,
113,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Player,Banker/Player,Player,2.00,100,10000,8,,25,
114,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Tie,Tie,Tie,9.00,100,10000,8,,25,
115,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Bank Pairs,Pair,Banker Pair,12.00,100,10000,8,,25,
116,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Play Pair,Pair,Player Pair,12.00,100,10000,8,,25,
117,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Big,Big/Small,Big,1.54,100,10000,8,,25,
118,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Small,Big/Small,Small,2.50,100,10000,8,,25,
119,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Banker Odds,Odd/Even,Banker Odd,1.94,100,10000,8,,25,
120,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Banker Even,Odd/Even,Banker Even,1.94,100,10000,8,,25,
121,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Player Odds,Odd/Even,Player Odd,1.96,100,10000,8,,25,
122,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,100,10000,,Player Even,Odd/Even,Player Even,1.90,100,10000,8,,25,
123,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Banker,Banker/Player,Banker,1.95,2000,50000,8,,25,
124,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Player,Banker/Player,Player,2.00,2000,50000,8,,25,
125,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Tie,Tie,Tie,9.00,2000,50000,8,,25,
126,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Bank Pairs,Pair,Banker Pair,12.00,2000,50000,8,,25,
127,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Play Pair,Pair,Player Pair,12.00,2000,50000,8,,25,
128,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Big,Big/Small,Big,1.54,2000,50000,8,,25,
129,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Small,Big/Small,Small,2.50,2000,50000,8,,25,
130,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Banker Odds,Odd/Even,Banker Odd,1.94,2000,50000,8,,25,
131,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Banker Even,Odd/Even,Banker Even,1.94,2000,50000,8,,25,
132,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Player Odds,Odd/Even,Player Odd,1.96,2000,50000,8,,25,
133,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,2000,50000,,Player Even,Odd/Even,Player Even,1.90,2000,50000,8,,25,
134,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,10000,200000,,Banker,Banker/Player,Banker,1.95,10000,200000,8,,25,
135,FUN88,SUN,Super Baccarat 5 / Super Baccarat 6,Baccarat,Baccarat,Baccarat,10000,200000,,Player,Banker/Player,Player,2.00,10000,200000,8,,25,
